"","country_id","party","party_id","cee","ches_id","family","cmp_id","parlgov_id","manichean","indivisble","generalwill","peoplecentrism","antielitism","complex","emotional","lroverall","lrecon","immigration","eu","nativism","laworder","lifestyle","intradem","personalised","nr_experts","mean_expert_response","populism"
"95","FR","FN",1106,0,610,1,31720,270,9.60000038146973,6.59999990463257,8.19999980926514,8.80000019073486,8.30000019073486,0.222222223877907,8.89999961853027,8.39999961853027,3.40000009536743,0.200000002980232,0.300000011920929,9.80000019073486,9.39999961853027,2.29999995231628,2.40000009536743,9.5,10,9.9375,9.07024955749512
"96","FR","LaREM",1107,0,626,3,31425,2643,6.30000019073486,4,5.69999980926514,3.29999995231628,1.39999997615814,6.55555534362793,4,6.11111116409302,6.69999980926514,4.40000009536743,9,2.70000004768372,5.80000019073486,7,3.5,9,10,9.875,3.5167920589447
"97","FR","LR",1108,0,609,2,31626,658,6.80000019073486,5.30000019073486,5.90000009536743,3.70000004768372,3.40000009536743,5.33333349227905,5.90000009536743,7.5,6.69999980926514,1.89999997615814,5,7.19999980926514,8.10000038146973,2.40000009536743,4.80000019073486,7.59999990463257,10,9.9375,4.43510055541992
"98","FR","UDI",1109,0,NA,3,31430,2273,3.44444441795349,2.875,4.375,3,1.22222220897675,6.25,1.66666662693024,6.33333349227905,6.33333349227905,4.11111116409302,8,3.33333325386047,5.33333349227905,4.66666650772095,4.16666650772095,3.5,10,8.6875,1.78034067153931
"99","FR","LFI",1110,0,627,6,31240,2644,8.60000038146973,7.09999990463257,7.30000019073486,8.69999980926514,8.89999961853027,1.55555558204651,8.5,1.5,1.20000004768372,7.19999980926514,2.09999990463257,1.89999997615814,2.70000004768372,7.30000019073486,4.5,8.69999980926514,10,9.9375,8.44583034515381
"100","FR","DLF",1111,0,628,2,NA,2399,8.60000038146973,6.19999980926514,6.80000019073486,7.40000009536743,7.5,1.55555558204651,7.19999980926514,7.59999990463257,5.22222232818604,1.39999997615814,0.899999976158142,8.10000038146973,8.22222232818604,2,2.375,8.89999961853027,10,9.6875,7.42611122131348
"101","FR","NPA",1112,0,NA,6,NA,NA,8.60000038146973,6.55555534362793,6,8.66666698455811,9.30000019073486,1.44444441795349,7.19999980926514,1.70000004768372,0.899999976158142,9,2.5,1.10000002384186,2.22222232818604,8.30000019073486,4,3.20000004768372,10,9.5,7.75753021240234
"102","FR","LP",1113,0,NA,1,NA,NA,8.66666698455811,6.88888883590698,8.125,8.39999961853027,8.39999961853027,1.375,8.2857141494751,7.88888883590698,2.44444441795349,0.200000002980232,0.100000001490116,9.10000038146973,8.19999980926514,3.11111116409302,NA,9.30000019073486,10,8.8125,8.71235084533691
"103","GE","CDU",1201,0,301,4,NA,808,3.27777767181396,3.41176462173462,3.05882358551025,1.88888883590698,1.27777779102325,7.35294103622437,3.66666674613953,5.72222232818604,6.33333349227905,4.5,7.77777767181396,5.61111116409302,6.33333349227905,3.88888883590698,3.94444441795349,7.94444465637207,18,17.8125,0.761448621749878
"104","GE","SPD",1202,0,302,5,41320,558,3.66666674613953,2.82352948188782,3.11764717102051,2.88888883590698,3.05555558204651,7.47058820724487,4.22222232818604,4.11111116409302,3.55555558204651,5.88888883590698,7.94444465637207,3.77777767181396,4.66666650772095,6.33333349227905,6.11111116409302,5.61111116409302,18,17.8125,1.52229189872742
